HzQdEzG,Tue, 23 Jul 2019 10:06:33 GMT,compare, click, idea, 34, emotion, excited
HzQdEzG,Tue, 23 Jul 2019 10:06:34 GMT,compare, click, idea, 34, emotion, happy
HzQdEzG,Tue, 23 Jul 2019 10:06:36 GMT,compare, click, idea, 34, emotion, concerned
HzQdEzG,Tue, 23 Jul 2019 10:06:40 GMT,compare, click, idea, 34, emotion, happy
HzQdEzG,Tue, 23 Jul 2019 10:06:45 GMT,compare, click, idea, 34, emotion, excited
HzQdEzG,Tue, 23 Jul 2019 10:06:51 GMT,compare, click, idea, 35, emotion, excited
HzQdEzG,Tue, 23 Jul 2019 10:06:52 GMT,compare, click, idea, 35, emotion, excited
HzQdEzG,Tue, 23 Jul 2019 10:06:53 GMT,compare, click, idea, 35, emotion, happy
HzQdEzG,Tue, 23 Jul 2019 10:06:54 GMT,compare, click, idea, 35, emotion, excited
HzQdEzG,Tue, 23 Jul 2019 10:06:56 GMT,compare, click, idea, 35, emotion, neutral
HzQdEzG,Tue, 23 Jul 2019 10:06:57 GMT,compare, click, idea, 35, emotion, neutral
HzQdEzG,Tue, 23 Jul 2019 10:06:59 GMT,compare, click, idea, 34, emotion, excited
HzQdEzG,Tue, 23 Jul 2019 10:07:05 GMT,click, sortby, participants
HzQdEzG,Tue, 23 Jul 2019 10:07:06 GMT,click, sortby, participants
HzQdEzG,Tue, 23 Jul 2019 10:07:07 GMT,click, sortby, participants
HzQdEzG,Tue, 23 Jul 2019 10:07:28 GMT,click, sortby, participants
HzQdEzG,Tue, 23 Jul 2019 10:07:34 GMT,click, sortby, participants
HzQdEzG,Tue, 23 Jul 2019 10:07:42 GMT,click, sortby, participants
HzQdEzG,Tue, 23 Jul 2019 10:07:47 GMT,click, sortby, participants
HzQdEzG,Tue, 23 Jul 2019 10:07:49 GMT,click, sortby, participants
HzQdEzG,Tue, 23 Jul 2019 10:07:51 GMT,click, sortby, comments
HzQdEzG,Tue, 23 Jul 2019 10:07:53 GMT,click, sortby, comments
HzQdEzG,Tue, 23 Jul 2019 10:07:55 GMT,click, sortby, comments
HzQdEzG,Tue, 23 Jul 2019 10:07:56 GMT,click, sortby, comments
HzQdEzG,Tue, 23 Jul 2019 10:07:57 GMT,click, sortby, comments
HzQdEzG,Tue, 23 Jul 2019 10:07:58 GMT,click, sortby, comments
HzQdEzG,Tue, 23 Jul 2019 10:07:59 GMT,click, sortby, comments
HzQdEzG,Mon, 29 Jul 2019 19:30:21 GMT,click, sortby, participants
HzQdEzG,Mon, 29 Jul 2019 19:30:23 GMT,click, sortby, comments
HzQdEzG,Mon, 29 Jul 2019 19:30:27 GMT,click, sortby, comments
HzQdEzG,Mon, 29 Jul 2019 19:30:32 GMT,click, sortby, participants
HzQdEzG,Mon, 29 Jul 2019 19:30:33 GMT,click, sortby, participants
