NcoKk9t,Tue, 19 Mar 2019 12:59:10 GMT,click, idea, 34
NcoKk9t,Thu, 21 Mar 2019 15:19:43 GMT,click, idea, 27
NcoKk9t,Thu, 21 Mar 2019 15:20:28 GMT,click, idea, 27
NcoKk9t,Thu, 21 Mar 2019 15:20:50 GMT,click, idea, 3
NcoKk9t,Thu, 21 Mar 2019 15:21:05 GMT,click, idea, 3, emotion, angry
NcoKk9t,Thu, 21 Mar 2019 15:21:06 GMT,click, idea, 3, emotion, angry
NcoKk9t,Thu, 21 Mar 2019 15:21:08 GMT,click, idea, 3, emotion, angry
NcoKk9t,Thu, 21 Mar 2019 15:21:15 GMT,click, idea, 3, emotion, sad
NcoKk9t,Thu, 21 Mar 2019 15:21:18 GMT,click, idea, 3sentiment positive
NcoKk9t,Thu, 21 Mar 2019 15:21:23 GMT,click, idea, 3sentiment negative
NcoKk9t,Thu, 21 Mar 2019 15:21:30 GMT,click, idea, 3
NcoKk9t,Thu, 21 Mar 2019 15:21:34 GMT,click, idea, 3, emotion, worried
NcoKk9t,Thu, 21 Mar 2019 15:21:37 GMT,click, idea, 3, emotion, angry
NcoKk9t,Thu, 21 Mar 2019 15:22:38 GMT,click, idea, 3
NcoKk9t,Thu, 21 Mar 2019 15:22:45 GMT,click, idea, 3
NcoKk9t,Thu, 21 Mar 2019 15:22:47 GMT,click, idea, 3
NcoKk9t,Thu, 21 Mar 2019 15:22:51 GMT,click, idea, 3
NcoKk9t,Thu, 21 Mar 2019 15:23:26 GMT,click, idea, 3
NcoKk9t,Thu, 21 Mar 2019 15:24:06 GMT,click, idea, 24
NcoKk9t,Thu, 21 Mar 2019 15:24:07 GMT,click, idea, 24
