5Br8vq6,Thu, 14 Mar 2019 19:45:06 GMT,click, idea, 33
5Br8vq6,Thu, 14 Mar 2019 19:45:09 GMT,click, idea, 33
5Br8vq6,Thu, 14 Mar 2019 19:45:10 GMT,click, idea, 1
5Br8vq6,Thu, 14 Mar 2019 19:45:12 GMT,click, idea, 3
5Br8vq6,Thu, 14 Mar 2019 19:45:13 GMT,click, idea, 1
5Br8vq6,Thu, 14 Mar 2019 19:45:15 GMT,click, idea, 1
5Br8vq6,Thu, 14 Mar 2019 19:45:17 GMT,click, idea, 1
5Br8vq6,Thu, 14 Mar 2019 19:45:18 GMT,click, idea, 23
5Br8vq6,Thu, 14 Mar 2019 19:45:19 GMT,click, idea, 2
5Br8vq6,Thu, 14 Mar 2019 19:45:21 GMT,click, idea, 3
5Br8vq6,Thu, 14 Mar 2019 19:45:22 GMT,click, idea, 1
5Br8vq6,Thu, 14 Mar 2019 19:45:24 GMT,click, idea, 23
5Br8vq6,Thu, 14 Mar 2019 19:45:25 GMT,click, idea, 23
5Br8vq6,Thu, 14 Mar 2019 19:45:27 GMT,click, idea, 2
5Br8vq6,Thu, 14 Mar 2019 19:45:28 GMT,click, idea, 1
5Br8vq6,Thu, 14 Mar 2019 19:45:39 GMT,click, idea, 3, emotion, excited
5Br8vq6,Thu, 14 Mar 2019 19:45:47 GMT,click, idea, 3, emotion, happy
5Br8vq6,Thu, 14 Mar 2019 19:45:55 GMT,click, idea, 3, emotion, sad
5Br8vq6,Thu, 14 Mar 2019 19:45:57 GMT,click, idea, 3, emotion, angry
5Br8vq6,Thu, 14 Mar 2019 19:46:05 GMT,click, idea, 6
5Br8vq6,Thu, 14 Mar 2019 19:46:07 GMT,click, idea, 2
5Br8vq6,Thu, 14 Mar 2019 19:46:10 GMT,click, idea, 32
5Br8vq6,Thu, 14 Mar 2019 19:46:15 GMT,click, idea, 27
5Br8vq6,Thu, 14 Mar 2019 19:46:17 GMT,click, idea, 27
5Br8vq6,Thu, 14 Mar 2019 19:46:18 GMT,click, idea, 32
5Br8vq6,Thu, 14 Mar 2019 19:46:19 GMT,click, idea, 2
5Br8vq6,Thu, 14 Mar 2019 19:46:20 GMT,click, idea, 6
5Br8vq6,Thu, 14 Mar 2019 19:46:22 GMT,click, idea, 6
5Br8vq6,Thu, 14 Mar 2019 19:46:26 GMT,click, idea, 2
5Br8vq6,Thu, 14 Mar 2019 19:46:31 GMT,click, idea, 32
5Br8vq6,Thu, 14 Mar 2019 19:46:33 GMT,click, idea, 27
5Br8vq6,Thu, 14 Mar 2019 19:46:41 GMT,click, sortby, excited
5Br8vq6,Thu, 14 Mar 2019 19:46:49 GMT,click, idea, 6
5Br8vq6,Thu, 14 Mar 2019 19:46:51 GMT,click, idea, 6
5Br8vq6,Thu, 14 Mar 2019 19:46:52 GMT,click, idea, 6
5Br8vq6,Thu, 14 Mar 2019 19:46:53 GMT,click, idea, 2
5Br8vq6,Thu, 14 Mar 2019 22:14:13 GMT,click, sortby, excited
5Br8vq6,Thu, 14 Mar 2019 22:14:28 GMT,click, sortby, positive
5Br8vq6,Thu, 14 Mar 2019 22:14:33 GMT,click, sortby, negative
5Br8vq6,Thu, 14 Mar 2019 22:14:37 GMT,click, sortby, positive
5Br8vq6,Thu, 14 Mar 2019 22:14:47 GMT,click, sortby, excited
5Br8vq6,Thu, 14 Mar 2019 22:15:04 GMT,click, sortby, positive
5Br8vq6,Thu, 14 Mar 2019 22:15:07 GMT,click, sortby, negative
5Br8vq6,Thu, 14 Mar 2019 22:15:17 GMT,click, idea, 6
5Br8vq6,Thu, 14 Mar 2019 22:15:20 GMT,click, idea, 2
5Br8vq6,Thu, 14 Mar 2019 22:15:26 GMT,click, idea, 32
5Br8vq6,Thu, 14 Mar 2019 22:15:28 GMT,click, idea, 27
5Br8vq6,Thu, 14 Mar 2019 22:15:30 GMT,click, idea, 14
5Br8vq6,Fri, 15 Mar 2019 11:16:03 GMT,click, idea, 14
5Br8vq6,Fri, 15 Mar 2019 11:16:04 GMT,click, idea, 32
5Br8vq6,Fri, 15 Mar 2019 11:16:07 GMT,click, idea, 2
5Br8vq6,Fri, 15 Mar 2019 11:16:09 GMT,click, idea, 6
5Br8vq6,Fri, 15 Mar 2019 11:16:17 GMT,click, sortby, excited
5Br8vq6,Sat, 16 Mar 2019 14:26:49 GMT,click, sortby, positive
5Br8vq6,Sat, 16 Mar 2019 14:26:51 GMT,click, sortby, negative
5Br8vq6,Sat, 16 Mar 2019 14:28:26 GMT,click, sortby, excited
5Br8vq6,Sat, 16 Mar 2019 14:28:36 GMT,click, sortby, excited
5Br8vq6,Sat, 16 Mar 2019 14:28:39 GMT,click, idea, 1
5Br8vq6,Sat, 16 Mar 2019 14:30:01 GMT,click, idea, 6
5Br8vq6,Sat, 16 Mar 2019 14:30:06 GMT,click, idea, 1
5Br8vq6,Sat, 16 Mar 2019 14:30:10 GMT,click, idea, 2
5Br8vq6,Sat, 16 Mar 2019 14:30:37 GMT,click, idea, 32
5Br8vq6,Sat, 16 Mar 2019 17:58:16 GMT,click, sortby, excited
