tLJioG1,Fri, 15 Mar 2019 14:06:52 GMT,click, sortby, comments
tLJioG1,Fri, 15 Mar 2019 14:06:54 GMT,click, sortby, comments
tLJioG1,Fri, 15 Mar 2019 14:06:55 GMT,click, sortby, comments
tLJioG1,Fri, 15 Mar 2019 14:07:31 GMT,click, idea, 3sentiment positive
tLJioG1,Fri, 15 Mar 2019 14:07:36 GMT,click, idea, 3sentiment positive
tLJioG1,Fri, 15 Mar 2019 14:07:39 GMT,click, sortby, positive
tLJioG1,Fri, 15 Mar 2019 14:07:44 GMT,click, idea, 31sentiment positive
tLJioG1,Fri, 15 Mar 2019 14:07:49 GMT,click, idea, 31sentiment negative
tLJioG1,Fri, 15 Mar 2019 14:08:03 GMT,click, idea, 31sentiment negative
tLJioG1,Fri, 15 Mar 2019 14:08:50 GMT,click, idea, 14
tLJioG1,Fri, 15 Mar 2019 14:09:06 GMT,click, sortby, positive
tLJioG1,Fri, 15 Mar 2019 14:09:07 GMT,click, sortby, positive
tLJioG1,Fri, 15 Mar 2019 14:09:12 GMT,click, idea, 31sentiment positive
tLJioG1,Fri, 15 Mar 2019 14:09:34 GMT,click, idea, 31sentiment negative
tLJioG1,Fri, 15 Mar 2019 14:12:27 GMT,click, revision, idea, 31 task, 12 comment211 revision, opinion
tLJioG1,Fri, 15 Mar 2019 14:12:29 GMT,click, revision, idea, 31 task, 12 comment211 revision, opinion
tLJioG1,Fri, 15 Mar 2019 14:12:31 GMT,click, revision, idea, 31 task, 12 comment211 revision, opinion
tLJioG1,Fri, 15 Mar 2019 14:12:32 GMT,click, revision, idea, 31 task, 12 comment211 revision, opinion
tLJioG1,Fri, 15 Mar 2019 14:12:34 GMT,click, revision, idea, 31 task, 12 comment211 revision, fact
tLJioG1,Fri, 15 Mar 2019 14:12:36 GMT,click, revision, idea, 31 task, 12 comment211 revision, fact
tLJioG1,Fri, 15 Mar 2019 14:12:37 GMT,click, revision, idea, 31 task, 12 comment211 revision, opinion
tLJioG1,Fri, 15 Mar 2019 14:12:38 GMT,click, revision, idea, 31 task, 12 comment211 revision, opinion
tLJioG1,Fri, 15 Mar 2019 14:12:39 GMT,click, revision, idea, 31 task, 12 comment211 revision, fact
tLJioG1,Fri, 15 Mar 2019 14:12:41 GMT,click, revision, idea, 31 task, 12 comment211 revision, opinion
tLJioG1,Fri, 15 Mar 2019 14:13:03 GMT,click, revision, idea, 31 task, 12 comment211 revision, positive
tLJioG1,Fri, 15 Mar 2019 14:13:41 GMT,click, idea, 31
tLJioG1,Fri, 15 Mar 2019 14:13:56 GMT,click, idea, 31, emotion, angry
tLJioG1,Fri, 15 Mar 2019 14:14:57 GMT,click, idea, 31
tLJioG1,Fri, 15 Mar 2019 14:15:13 GMT,click, idea, 10
tLJioG1,Fri, 15 Mar 2019 14:15:43 GMT,click, idea, 31
tLJioG1,Fri, 15 Mar 2019 14:15:49 GMT,click, idea, 10
tLJioG1,Fri, 15 Mar 2019 14:15:53 GMT,click, idea, 31
tLJioG1,Fri, 15 Mar 2019 14:15:56 GMT,click, idea, 10
tLJioG1,Fri, 15 Mar 2019 14:16:42 GMT,click, idea, 10
tLJioG1,Fri, 15 Mar 2019 14:18:13 GMT,click, idea, 6
tLJioG1,Fri, 15 Mar 2019 14:20:01 GMT,click, idea, 6
tLJioG1,Fri, 15 Mar 2019 14:21:23 GMT,click, idea, 32
tLJioG1,Fri, 15 Mar 2019 14:21:24 GMT,click, idea, 6
tLJioG1,Fri, 15 Mar 2019 14:21:57 GMT,click, idea, 32
tLJioG1,Fri, 15 Mar 2019 14:21:58 GMT,click, idea, 6
tLJioG1,Fri, 15 Mar 2019 14:22:30 GMT,click, sortby, participants
tLJioG1,Fri, 15 Mar 2019 14:22:32 GMT,click, idea, 22
tLJioG1,Fri, 15 Mar 2019 14:22:36 GMT,click, idea, 22, emotion, angry
tLJioG1,Fri, 15 Mar 2019 14:22:41 GMT,click, idea, 22, emotion, sad
tLJioG1,Fri, 15 Mar 2019 14:22:45 GMT,click, idea, 22
tLJioG1,Fri, 15 Mar 2019 14:23:41 GMT,click, idea, 22
tLJioG1,Fri, 15 Mar 2019 14:23:45 GMT,click, idea, 22, emotion, sad
tLJioG1,Fri, 15 Mar 2019 14:23:48 GMT,click, idea, 22, emotion, sad
tLJioG1,Fri, 15 Mar 2019 14:24:21 GMT,click, idea, 22
tLJioG1,Fri, 15 Mar 2019 14:25:22 GMT,click, sortby, positive
tLJioG1,Fri, 15 Mar 2019 14:25:55 GMT,click, idea, 4
tLJioG1,Fri, 15 Mar 2019 14:26:40 GMT,click, idea, 4
